Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,response,create_date,version,Sample Name,source_name,SRA Study,tissue,treatment
SRR13521098,RNA-Seq,58,1401938300,PRJNA694637,SAMN17528639,509661983,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX9932092,GSM5033946,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T12:02:00Z,1,GSM5033946,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521099,RNA-Seq,58,927745844,PRJNA694637,SAMN17528639,344067612,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX9932092,GSM5033946,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T11:59:00Z,1,GSM5033946,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521104,RNA-Seq,58,1108095278,PRJNA694637,SAMN17528671,407252089,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX9932093,GSM5033947,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T12:03:00Z,1,GSM5033947,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521105,RNA-Seq,58,281162250,PRJNA694637,SAMN17528670,100621624,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX9932094,GSM5033948,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T11:55:00Z,1,GSM5033948,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521106,RNA-Seq,58,2184641630,PRJNA694637,SAMN17528670,791559985,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX9932094,GSM5033948,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T12:48:00Z,1,GSM5033948,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521107,RNA-Seq,58,769078840,PRJNA694637,SAMN17528670,274346322,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX9932094,GSM5033948,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T11:58:00Z,1,GSM5033948,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521108,RNA-Seq,58,1628367168,PRJNA694637,SAMN17528670,586875395,GEO,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX9932094,GSM5033948,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T12:44:00Z,1,GSM5033948,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521109,RNA-Seq,58,1068030792,PRJNA694637,SAMN17528670,393374903,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX9932094,GSM5033948,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T12:00:00Z,1,GSM5033948,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521110,RNA-Seq,58,176207944,PRJNA694637,SAMN17528669,63588778,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX9932095,GSM5033949,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T11:55:00Z,1,GSM5033949,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521111,RNA-Seq,58,1374946724,PRJNA694637,SAMN17528669,499541010,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX9932095,GSM5033949,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T12:02:00Z,1,GSM5033949,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521112,RNA-Seq,58,491425880,PRJNA694637,SAMN17528669,174660003,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX9932095,GSM5033949,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T11:57:00Z,1,GSM5033949,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521114,RNA-Seq,58,654040886,PRJNA694637,SAMN17528669,242057051,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX9932095,GSM5033949,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T11:58:00Z,1,GSM5033949,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521115,RNA-Seq,58,288708398,PRJNA694637,SAMN17528668,103606707,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX9932096,GSM5033950,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,NA,2021-01-25T11:55:00Z,1,GSM5033950,resection tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521116,RNA-Seq,58,2266408580,PRJNA694637,SAMN17528668,822789849,GEO,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX9932096,GSM5033950,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,NA,2021-01-25T12:05:00Z,1,GSM5033950,resection tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521117,RNA-Seq,58,797152174,PRJNA694637,SAMN17528668,284204190,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX9932096,GSM5033950,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,NA,2021-01-25T11:59:00Z,1,GSM5033950,resection tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521118,RNA-Seq,58,1694183306,PRJNA694637,SAMN17528668,611313907,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX9932096,GSM5033950,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,NA,2021-01-25T12:43:00Z,1,GSM5033950,resection tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521119,RNA-Seq,58,1105137742,PRJNA694637,SAMN17528668,407979017,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX9932096,GSM5033950,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,NA,2021-01-25T12:03:00Z,1,GSM5033950,resection tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521120,RNA-Seq,58,289354402,PRJNA694637,SAMN17528667,105050160,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX9932097,GSM5033951,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,responder,2021-01-25T11:55:00Z,1,GSM5033951,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521121,RNA-Seq,58,2269794968,PRJNA694637,SAMN17528667,832174474,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX9932097,GSM5033951,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,responder,2021-01-25T12:10:00Z,1,GSM5033951,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521127,RNA-Seq,58,728487772,PRJNA694637,SAMN17528666,259912345,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX9932098,GSM5033952,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,responder,2021-01-25T11:58:00Z,1,GSM5033952,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521128,RNA-Seq,58,1553492880,PRJNA694637,SAMN17528666,559430118,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX9932098,GSM5033952,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,responder,2021-01-25T12:43:00Z,1,GSM5033952,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521129,RNA-Seq,58,1026106594,PRJNA694637,SAMN17528666,376968954,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX9932098,GSM5033952,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,responder,2021-01-25T12:00:00Z,1,GSM5033952,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521130,RNA-Seq,58,279630992,PRJNA694637,SAMN17528699,100474887,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX9932099,GSM5033953,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,responder,2021-01-25T11:55:00Z,1,GSM5033953,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521131,RNA-Seq,58,2209282408,PRJNA694637,SAMN17528699,804628842,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX9932099,GSM5033953,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,responder,2021-01-25T12:09:00Z,1,GSM5033953,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521132,RNA-Seq,58,771276228,PRJNA694637,SAMN17528699,276043064,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX9932099,GSM5033953,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,responder,2021-01-25T12:00:00Z,1,GSM5033953,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521133,RNA-Seq,58,1642558840,PRJNA694637,SAMN17528699,595063966,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX9932099,GSM5033953,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,responder,2021-01-25T12:44:00Z,1,GSM5033953,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521134,RNA-Seq,58,1089150970,PRJNA694637,SAMN17528699,403308116,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX9932099,GSM5033953,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,responder,2021-01-25T12:01:00Z,1,GSM5033953,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521135,RNA-Seq,58,282010384,PRJNA694637,SAMN17528698,101802721,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX9932100,GSM5033954,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,responder,2021-01-25T11:55:00Z,1,GSM5033954,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521136,RNA-Seq,58,2203595508,PRJNA694637,SAMN17528698,805249309,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX9932100,GSM5033954,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,responder,2021-01-25T12:10:00Z,1,GSM5033954,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521137,RNA-Seq,58,765436614,PRJNA694637,SAMN17528698,275186705,GEO,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX9932100,GSM5033954,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,responder,2021-01-25T11:58:00Z,1,GSM5033954,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521139,RNA-Seq,58,1081730624,PRJNA694637,SAMN17528698,401385582,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX9932100,GSM5033954,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,responder,2021-01-25T12:00:00Z,1,GSM5033954,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521140,RNA-Seq,58,244670100,PRJNA694637,SAMN17528697,87382761,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX9932101,GSM5033955,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T11:55:00Z,1,GSM5033955,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521141,RNA-Seq,58,1891355756,PRJNA694637,SAMN17528697,683293129,GEO,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX9932101,GSM5033955,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T12:06:00Z,1,GSM5033955,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521142,RNA-Seq,58,666705302,PRJNA694637,SAMN17528697,237039072,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX9932101,GSM5033955,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T11:58:00Z,1,GSM5033955,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521143,RNA-Seq,58,1430998678,PRJNA694637,SAMN17528697,513666938,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX9932101,GSM5033955,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T12:02:00Z,1,GSM5033955,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521146,RNA-Seq,58,3021526414,PRJNA694637,SAMN17528696,1108266791,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX9932102,GSM5033956,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T12:12:00Z,1,GSM5033956,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521147,RNA-Seq,58,1071574708,PRJNA694637,SAMN17528696,386377292,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX9932102,GSM5033956,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T11:59:00Z,1,GSM5033956,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521148,RNA-Seq,58,2273928860,PRJNA694637,SAMN17528696,829522203,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX9932102,GSM5033956,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T12:09:00Z,1,GSM5033956,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521149,RNA-Seq,58,1477211048,PRJNA694637,SAMN17528696,550340513,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX9932102,GSM5033956,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T12:02:00Z,1,GSM5033956,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521150,RNA-Seq,58,318323082,PRJNA694637,SAMN17528695,114811916,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9932103,GSM5033957,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T11:56:00Z,1,GSM5033957,resection tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521151,RNA-Seq,58,2496003784,PRJNA694637,SAMN17528695,911852110,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX9932103,GSM5033957,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T12:09:00Z,1,GSM5033957,resection tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
SRR13521155,RNA-Seq,58,366098320,PRJNA694637,SAMN17528694,131538268,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX9932104,GSM5033958,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-02-04T00:00:00Z,non-responder,2021-01-25T11:56:00Z,1,GSM5033958,endoscopic tumor biopsy,SRP303154,esophageal adenocarcinoma,neoadjuvant chemoradiotherapy + atezolizumab
