Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,therapy
SRR8112656,RNA-Seq,286,21235165954,PRJNA498500,SAMN10311465,8328155586,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4939040,GSM3447018,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-10-25T16:28:00Z,1,GSM3447018,Recurrent glioblastoma,SRP166889,neoadjuvant pembrolizumab
SRR8112657,RNA-Seq,282,18658332553,PRJNA498500,SAMN10311464,7179171045,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4939041,GSM3447019,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-10-25T16:27:00Z,1,GSM3447019,Recurrent glioblastoma,SRP166889,neoadjuvant pembrolizumab
SRR8112658,RNA-Seq,283,18096229584,PRJNA498500,SAMN10311463,7114349215,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4939042,GSM3447020,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-10-25T16:33:00Z,1,GSM3447020,Recurrent glioblastoma,SRP166889,neoadjuvant pembrolizumab
SRR8112659,RNA-Seq,285,26569549249,PRJNA498500,SAMN10311462,10427651712,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4939043,GSM3447021,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-10-25T16:35:00Z,1,GSM3447021,Recurrent glioblastoma,SRP166889,neoadjuvant pembrolizumab
SRR8112660,RNA-Seq,288,17499907740,PRJNA498500,SAMN10311461,7141985349,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4939044,GSM3447022,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-10-25T16:33:00Z,1,GSM3447022,Recurrent glioblastoma,SRP166889,adjuvant pembrolizumab
SRR8112661,RNA-Seq,289,21429808206,PRJNA498500,SAMN10311460,8851435740,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4939045,GSM3447023,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-10-25T16:32:00Z,1,GSM3447023,Recurrent glioblastoma,SRP166889,adjuvant pembrolizumab
SRR8112662,RNA-Seq,291,24674803906,PRJNA498500,SAMN10311459,10215778137,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4939046,GSM3447024,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-10-25T16:50:00Z,1,GSM3447024,Recurrent glioblastoma,SRP166889,adjuvant pembrolizumab
SRR8112663,RNA-Seq,288,20611966036,PRJNA498500,SAMN10311458,8518629468,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4939047,GSM3447025,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-10-25T16:37:00Z,1,GSM3447025,Recurrent glioblastoma,SRP166889,adjuvant pembrolizumab
SRR8112664,RNA-Seq,290,20153082856,PRJNA498500,SAMN10311457,8427262000,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4939048,GSM3447026,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-10-25T16:39:00Z,1,GSM3447026,Recurrent glioblastoma,SRP166889,adjuvant pembrolizumab
SRR8112665,RNA-Seq,289,17741396488,PRJNA498500,SAMN10311456,7117437153,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4939049,GSM3447027,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-10-25T16:32:00Z,1,GSM3447027,Recurrent glioblastoma,SRP166889,adjuvant pembrolizumab
SRR8112666,RNA-Seq,290,20334026020,PRJNA498500,SAMN10311455,8199855525,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4939050,GSM3447028,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-10-25T16:44:00Z,1,GSM3447028,Recurrent glioblastoma,SRP166889,adjuvant pembrolizumab
SRR8112667,RNA-Seq,285,22531119245,PRJNA498500,SAMN10311454,9385085159,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4939051,GSM3447029,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-10-25T16:43:00Z,1,GSM3447029,Recurrent glioblastoma,SRP166889,adjuvant pembrolizumab
SRR8112668,RNA-Seq,290,19917369301,PRJNA498500,SAMN10311453,8058906186,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4939052,GSM3447030,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-10-25T16:41:00Z,1,GSM3447030,Recurrent glioblastoma,SRP166889,adjuvant pembrolizumab
SRR8112669,RNA-Seq,288,18062435691,PRJNA498500,SAMN10311482,7209112679,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4939053,GSM3447031,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-10-25T16:37:00Z,1,GSM3447031,Recurrent glioblastoma,SRP166889,adjuvant pembrolizumab
SRR8112670,RNA-Seq,287,19100149483,PRJNA498500,SAMN10311481,7564345602,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4939054,GSM3447032,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-10-25T16:29:00Z,1,GSM3447032,Recurrent glioblastoma,SRP166889,adjuvant pembrolizumab
SRR8112671,RNA-Seq,285,18313087087,PRJNA498500,SAMN10311480,7306811490,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4939055,GSM3447033,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-10-25T16:23:00Z,1,GSM3447033,Recurrent glioblastoma,SRP166889,adjuvant pembrolizumab
SRR8112672,RNA-Seq,286,21837185463,PRJNA498500,SAMN10311479,8516953092,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4939056,GSM3447034,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-10-25T16:40:00Z,1,GSM3447034,Recurrent glioblastoma,SRP166889,adjuvant pembrolizumab
SRR8112673,RNA-Seq,283,20595371019,PRJNA498500,SAMN10311478,8535835432,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4939057,GSM3447035,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-10-25T16:43:00Z,1,GSM3447035,Recurrent glioblastoma,SRP166889,adjuvant pembrolizumab
SRR8112674,RNA-Seq,286,25001016627,PRJNA498500,SAMN10311477,9563064518,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4939058,GSM3447036,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-12-06T00:00:00Z,2018-10-25T16:34:00Z,1,GSM3447036,Recurrent glioblastoma,SRP166889,adjuvant pembrolizumab
