Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,patient_diagnosis,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue
SRR15409691,RNA-Seq,150,7963804439,PRJNA753518,SAMN20698718,3374693611,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX11711853,GSM5512443,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,thymic carcinoma,ILLUMINA,2021-09-01T00:00:00Z,2021-08-12T08:43:00Z,1,GSM5512443,Thymus tissue,SRP331940,thymus
SRR15409692,RNA-Seq,150,7241890272,PRJNA753518,SAMN20698721,3058270818,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX11711854,GSM5512446,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,thymic carcinoma,ILLUMINA,2021-09-01T00:00:00Z,2021-08-12T08:30:00Z,1,GSM5512446,Thymus tissue,SRP331940,thymus
SRR15409693,OTHER,245,21873381680,PRJNA753518,SAMN20698722,8902954106,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX11711855,GSM5512447,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,thymic carcinoma,ILLUMINA,2021-09-01T00:00:00Z,2021-08-14T02:23:00Z,1,GSM5512447,Thymus tissue,SRP331940,thymus
SRR15409694,OTHER,247,27319598798,PRJNA753518,SAMN20698723,10905097843,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX11711856,GSM5512448,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,thymic carcinoma,ILLUMINA,2021-09-01T00:00:00Z,2021-08-14T03:51:00Z,1,GSM5512448,Thymus tissue,SRP331940,thymus
SRR15409695,RNA-Seq,150,6012318184,PRJNA753518,SAMN20698724,2520936053,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX11711857,GSM5512449,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,thymic carcinoma,ILLUMINA,2021-09-01T00:00:00Z,2021-08-11T03:54:00Z,1,GSM5512449,Thymus tissue,SRP331940,thymus
SRR15409696,OTHER,248,19314588254,PRJNA753518,SAMN20698725,7931466563,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX11711858,GSM5512450,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,thymic carcinoma,ILLUMINA,2021-09-01T00:00:00Z,2021-08-14T00:52:00Z,1,GSM5512450,Thymus tissue,SRP331940,thymus
SRR15409697,OTHER,246,31135796017,PRJNA753518,SAMN20698726,12738794278,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX11711859,GSM5512451,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,thymic carcinoma,ILLUMINA,2021-09-01T00:00:00Z,2021-08-14T16:33:00Z,1,GSM5512451,Thymus tissue,SRP331940,thymus
SRR15409698,RNA-Seq,150,4140319731,PRJNA753518,SAMN20698727,1704169297,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX11711860,GSM5512452,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,thymic carcinoma,ILLUMINA,2021-09-01T00:00:00Z,2021-08-11T02:57:00Z,1,GSM5512452,Thymus tissue,SRP331940,thymus
SRR15409699,OTHER,246,23250770769,PRJNA753518,SAMN20698728,9628804868,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX11711861,GSM5512453,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,thymic carcinoma,ILLUMINA,2021-09-01T00:00:00Z,2021-08-14T01:49:00Z,1,GSM5512453,Thymus tissue,SRP331940,thymus
SRR15409700,OTHER,245,17339100807,PRJNA753518,SAMN20698729,7015359118,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX11711862,GSM5512454,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,thymic carcinoma,ILLUMINA,2021-09-01T00:00:00Z,2021-08-13T21:40:00Z,1,GSM5512454,Thymus tissue,SRP331940,thymus
SRR15409701,RNA-Seq,147,11634699632,PRJNA753518,SAMN20698730,4821578115,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX11711863,GSM5512455,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,thymic carcinoma,ILLUMINA,2021-09-01T00:00:00Z,2021-08-12T10:56:00Z,1,GSM5512455,Thymus tissue,SRP331940,thymus
SRR15409702,OTHER,249,21226541931,PRJNA753518,SAMN20698731,8758549066,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX11711864,GSM5512456,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,thymic carcinoma,ILLUMINA,2021-09-01T00:00:00Z,2021-08-14T01:54:00Z,1,GSM5512456,Thymus tissue,SRP331940,thymus
SRR15409703,OTHER,244,40050117113,PRJNA753518,SAMN20698732,16314032191,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX11711865,GSM5512457,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,thymic carcinoma,ILLUMINA,2021-09-01T00:00:00Z,2021-08-14T18:26:00Z,1,GSM5512457,Thymus tissue,SRP331940,thymus
SRR15409704,RNA-Seq,150,8126188880,PRJNA753518,SAMN20698733,3406211795,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11711866,GSM5512458,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,thymic carcinoma,ILLUMINA,2021-09-01T00:00:00Z,2021-08-12T08:39:00Z,1,GSM5512458,Thymus tissue,SRP331940,thymus
SRR15409705,OTHER,247,25667879505,PRJNA753518,SAMN20698734,10361500369,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX11711867,GSM5512459,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,thymic carcinoma,ILLUMINA,2021-09-01T00:00:00Z,2021-08-14T00:31:00Z,1,GSM5512459,Thymus tissue,SRP331940,thymus
SRR15409706,OTHER,240,11221055018,PRJNA753518,SAMN20698735,4534588715,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX11711868,GSM5512460,Illumina HiSeq 4000,PAIRED,other,GENOMIC,Homo sapiens,thymic carcinoma,ILLUMINA,2021-09-01T00:00:00Z,2021-08-12T09:07:00Z,1,GSM5512460,Thymus tissue,SRP331940,thymus
