Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,response,create_date,version,Sample Name,source_name,SRA Study,tissue
SRR5088823,RNA-Seq,101,5249622438,PRJNA356761,SAMN06125025,3559214983,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405818,GSM2420269,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2017-08-01T17:54:00Z,1,GSM2420269,tumor,SRP094781,melanoma
SRR5088824,RNA-Seq,101,5455568578,PRJNA356761,SAMN06125024,3705400538,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405819,GSM2420270,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PRCR,2017-08-01T17:50:00Z,1,GSM2420270,tumor,SRP094781,melanoma
SRR5088825,RNA-Seq,101,5145293106,PRJNA356761,SAMN06125023,3482339925,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405820,GSM2420271,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PRCR,2017-08-01T18:14:00Z,1,GSM2420271,tumor,SRP094781,melanoma
SRR5088826,RNA-Seq,101,5145135757,PRJNA356761,SAMN06125022,2516095922,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405821,GSM2420272,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2016-12-08T16:20:00Z,1,GSM2420272,tumor,SRP094781,melanoma
SRR5088827,RNA-Seq,101,5263364053,PRJNA356761,SAMN06125021,3559603857,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405822,GSM2420273,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,UNK,2017-08-01T17:52:00Z,1,GSM2420273,tumor,SRP094781,melanoma
SRR5088828,RNA-Seq,101,5879037254,PRJNA356761,SAMN06125020,2863863246,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405823,GSM2420274,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2016-12-08T16:23:00Z,1,GSM2420274,tumor,SRP094781,melanoma
SRR5088829,RNA-Seq,101,5409129312,PRJNA356761,SAMN06125019,2661871478,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405824,GSM2420275,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2016-12-08T16:19:00Z,1,GSM2420275,tumor,SRP094781,melanoma
SRR5088830,RNA-Seq,101,5098199882,PRJNA356761,SAMN06125018,2517185310,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405825,GSM2420276,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2016-12-08T16:20:00Z,1,GSM2420276,tumor,SRP094781,melanoma
SRR5088831,RNA-Seq,101,6448110321,PRJNA356761,SAMN06125017,3177306715,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405826,GSM2420277,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2016-12-08T16:26:00Z,1,GSM2420277,tumor,SRP094781,melanoma
SRR5088832,RNA-Seq,101,5246605254,PRJNA356761,SAMN06125016,3568224023,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405827,GSM2420278,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2017-08-01T17:48:00Z,1,GSM2420278,tumor,SRP094781,melanoma
SRR5088833,RNA-Seq,101,6306388018,PRJNA356761,SAMN06125015,3107423248,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405828,GSM2420279,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2016-12-08T16:25:00Z,1,GSM2420279,tumor,SRP094781,melanoma
SRR5088834,RNA-Seq,101,5425917011,PRJNA356761,SAMN06125014,3686120709,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405829,GSM2420280,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PRCR,2017-08-01T18:04:00Z,1,GSM2420280,tumor,SRP094781,melanoma
SRR5088835,RNA-Seq,101,6316359100,PRJNA356761,SAMN06125013,3088307235,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405830,GSM2420281,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PRCR,2016-12-08T16:33:00Z,1,GSM2420281,tumor,SRP094781,melanoma
SRR5088836,RNA-Seq,101,5479139679,PRJNA356761,SAMN06125012,3740593161,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405831,GSM2420282,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T18:21:00Z,1,GSM2420282,tumor,SRP094781,melanoma
SRR5088837,RNA-Seq,101,5291531802,PRJNA356761,SAMN06125011,3537371827,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405832,GSM2420283,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T17:50:00Z,1,GSM2420283,tumor,SRP094781,melanoma
SRR5088838,RNA-Seq,101,5135626095,PRJNA356761,SAMN06125010,3428034494,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405833,GSM2420284,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T18:31:00Z,1,GSM2420284,tumor,SRP094781,melanoma
SRR5088839,RNA-Seq,101,4959580960,PRJNA356761,SAMN06125009,3375629164,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405834,GSM2420285,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T18:27:00Z,1,GSM2420285,tumor,SRP094781,melanoma
SRR5088840,RNA-Seq,101,5111576435,PRJNA356761,SAMN06125008,3429260942,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405835,GSM2420286,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2017-08-01T17:55:00Z,1,GSM2420286,tumor,SRP094781,melanoma
SRR5088841,RNA-Seq,101,6138898763,PRJNA356761,SAMN06125007,4226591598,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405836,GSM2420287,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2017-08-01T18:17:00Z,1,GSM2420287,tumor,SRP094781,melanoma
SRR5088842,RNA-Seq,101,5257209556,PRJNA356761,SAMN06125006,3568022018,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405837,GSM2420288,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PRCR,2017-08-01T17:49:00Z,1,GSM2420288,tumor,SRP094781,melanoma
SRR5088843,RNA-Seq,101,5202732151,PRJNA356761,SAMN06125050,3394813269,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405838,GSM2420289,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PRCR,2017-08-01T17:59:00Z,1,GSM2420289,tumor,SRP094781,melanoma
SRR5088844,RNA-Seq,101,6225567199,PRJNA356761,SAMN06125049,3066128500,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405839,GSM2420290,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PRCR,2016-12-08T16:29:00Z,1,GSM2420290,tumor,SRP094781,melanoma
SRR5088845,RNA-Seq,101,5364204265,PRJNA356761,SAMN06125046,4165931432,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405840,GSM2420291,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2017-08-01T18:04:00Z,1,GSM2420291,tumor,SRP094781,melanoma
SRR5088846,RNA-Seq,101,5138113576,PRJNA356761,SAMN06125045,3467520455,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405841,GSM2420292,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2017-08-01T17:56:00Z,1,GSM2420292,tumor,SRP094781,melanoma
SRR5088847,RNA-Seq,101,5487670771,PRJNA356761,SAMN06125044,3663212189,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405842,GSM2420293,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2017-08-01T17:52:00Z,1,GSM2420293,tumor,SRP094781,melanoma
SRR5088848,RNA-Seq,101,5765880813,PRJNA356761,SAMN06125043,3956502920,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405843,GSM2420294,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2017-08-01T18:16:00Z,1,GSM2420294,tumor,SRP094781,melanoma
SRR5088849,RNA-Seq,101,5256719030,PRJNA356761,SAMN06125042,3496507857,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405844,GSM2420295,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2017-08-01T17:49:00Z,1,GSM2420295,tumor,SRP094781,melanoma
SRR5088850,RNA-Seq,101,5036562117,PRJNA356761,SAMN06125048,3368311444,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405845,GSM2420296,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T17:30:00Z,1,GSM2420296,tumor,SRP094781,melanoma
SRR5088851,RNA-Seq,101,5329453955,PRJNA356761,SAMN06125047,3590065094,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405846,GSM2420297,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T18:09:00Z,1,GSM2420297,tumor,SRP094781,melanoma
SRR5088852,RNA-Seq,101,5272202477,PRJNA356761,SAMN06125041,3469334695,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405847,GSM2420298,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2017-08-01T18:02:00Z,1,GSM2420298,tumor,SRP094781,melanoma
SRR5088853,RNA-Seq,101,5239386129,PRJNA356761,SAMN06125040,3647310014,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405848,GSM2420299,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2017-08-01T18:27:00Z,1,GSM2420299,tumor,SRP094781,melanoma
SRR5088854,RNA-Seq,101,5233231252,PRJNA356761,SAMN06125039,3444200534,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405849,GSM2420300,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2017-08-01T17:06:00Z,1,GSM2420300,tumor,SRP094781,melanoma
SRR5088855,RNA-Seq,101,5133104116,PRJNA356761,SAMN06125038,2361691582,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405850,GSM2420301,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2016-12-08T16:06:00Z,1,GSM2420301,tumor,SRP094781,melanoma
SRR5088856,RNA-Seq,101,5933925560,PRJNA356761,SAMN06125037,4183493539,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405851,GSM2420302,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T18:18:00Z,1,GSM2420302,tumor,SRP094781,melanoma
SRR5088857,RNA-Seq,101,6040554367,PRJNA356761,SAMN06125036,4209570891,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405852,GSM2420303,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2017-08-01T18:58:00Z,1,GSM2420303,tumor,SRP094781,melanoma
SRR5088858,RNA-Seq,101,5299168404,PRJNA356761,SAMN06125035,3484695677,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405853,GSM2420304,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2017-08-01T18:01:00Z,1,GSM2420304,tumor,SRP094781,melanoma
SRR5088859,RNA-Seq,101,5316817574,PRJNA356761,SAMN06125104,3546272847,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405854,GSM2420305,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PRCR,2017-08-01T17:45:00Z,1,GSM2420305,tumor,SRP094781,melanoma
SRR5088860,RNA-Seq,101,5262659628,PRJNA356761,SAMN06125103,3550733145,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405855,GSM2420306,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PRCR,2017-08-01T17:41:00Z,1,GSM2420306,tumor,SRP094781,melanoma
SRR5088861,RNA-Seq,101,5167791461,PRJNA356761,SAMN06125102,3414344904,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405856,GSM2420307,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PRCR,2017-08-01T17:54:00Z,1,GSM2420307,tumor,SRP094781,melanoma
SRR5088862,RNA-Seq,101,5890888216,PRJNA356761,SAMN06125101,4329470482,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405857,GSM2420308,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T17:21:00Z,1,GSM2420308,tumor,SRP094781,melanoma
SRR5088864,RNA-Seq,101,5371544693,PRJNA356761,SAMN06125099,4065918495,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405859,GSM2420310,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T18:12:00Z,1,GSM2420310,tumor,SRP094781,melanoma
SRR5088865,RNA-Seq,101,6393565479,PRJNA356761,SAMN06125098,3122947353,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405860,GSM2420311,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2016-12-08T16:39:00Z,1,GSM2420311,tumor,SRP094781,melanoma
SRR5088866,RNA-Seq,101,6391147472,PRJNA356761,SAMN06125097,3135927282,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405861,GSM2420312,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2016-12-08T16:30:00Z,1,GSM2420312,tumor,SRP094781,melanoma
SRR5088867,RNA-Seq,101,5125101563,PRJNA356761,SAMN06125096,2507533652,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405862,GSM2420313,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2016-12-08T16:20:00Z,1,GSM2420313,tumor,SRP094781,melanoma
SRR5088870,RNA-Seq,101,4994066384,PRJNA356761,SAMN06125093,2445355013,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405865,GSM2420316,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,SD,2016-12-08T17:05:00Z,1,GSM2420316,tumor,SRP094781,melanoma
SRR5088871,RNA-Seq,101,5145384552,PRJNA356761,SAMN06125092,3545982946,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405866,GSM2420317,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T18:09:00Z,1,GSM2420317,tumor,SRP094781,melanoma
SRR5088872,RNA-Seq,101,6295998657,PRJNA356761,SAMN06125091,4432259311,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405867,GSM2420318,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T18:52:00Z,1,GSM2420318,tumor,SRP094781,melanoma
SRR5088873,RNA-Seq,101,5433679574,PRJNA356761,SAMN06125080,3788066804,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405868,GSM2420319,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2017-08-01T17:50:00Z,1,GSM2420319,tumor,SRP094781,melanoma
SRR5088874,RNA-Seq,101,4997860272,PRJNA356761,SAMN06125079,2494506131,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405869,GSM2420320,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PD,2016-12-08T16:18:00Z,1,GSM2420320,tumor,SRP094781,melanoma
SRR5088877,RNA-Seq,101,5134054897,PRJNA356761,SAMN06125076,2447854519,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405872,GSM2420323,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PRCR,2016-12-08T16:03:00Z,1,GSM2420323,tumor,SRP094781,melanoma
SRR5088878,RNA-Seq,101,5382363549,PRJNA356761,SAMN06125075,3924856124,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2405873,GSM2420324,Illumina Genome Analyzer,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-01-24T00:00:00Z,PRCR,2017-08-01T18:21:00Z,1,GSM2420324,tumor,SRP094781,melanoma
